P01901859A0000|0 59|UDP-Gal:Gal beta 1----4GlcNAc alpha 1----3-galactosyltransferase
P11080796A0883|73 80|IKKgamma
P10215608A0161|71 77|rGST Yc1
P10364314A0919|70 76|NS2 gene
P10586115A0477|73 80|IL-1beta
P11416012T0000|74 80|insulin
P01545787A0345|72 77|DNase I
P10034615T0000|76 81|Ni(110
P10938102A1359|73 78|eIF4GI
P10339566A0602|72 77|Spc94p
P09582327A0295|71 76|GGH3-1
P07675449A0848|72 76|PDGFR
P09931435A0357|70 74|ZIS-1
P11313946A0449|74 78|M-Ras
P02123820A0000|74 78|MAO-B
P11486032A1261|74 78|RUNX1
P10687855A1197|74 78|Zn-16
P10542281A2021|70 74|G1-G2
P08501030A0456|74 77|narL
P09369482A0690|75 78|HNF4
P08524229T0000|77 80|SRS4
P10874044A0647|73 76|ERK2
P10741850A0452|74 77|GCSh
P10992299A0745|72 75|PI12
P09837978T0093|77 80|SAPK
P08825636T0000|72 75|p105
P08189533A0203|71 74|NS53
P11238375A0617|70 73|ERK6
P10544037A0617|70 73|FZD4
P08618433A0000|71 74|FLT3
P09388200A0639|74 77|MDM2
P11471077A0382|71 74|TRA2
P02545903A0639|71 74|NS3A
P10872831A0000|74 77|EPOR
P09049304A1193|73 76|VEGF
P08139562A0404|71 74|GCN4
P01851527T0000|74 76|APP
P09478971A1896|72 74|AhR
P10074921A1169|72 74|p53
P09388198A1396|72 74|ERK
P09501093A0071|72 74|Ras
P08990397A1437|76 78|H13
P09822652A1118|72 74|Sp1
P09920930A0959|72 74|Luc
P08970984A0765|73 75|SRF
P08702556A0000|74 76|PAP
P01907941A0275|69 71|Rel
P01460054A0478|71 73|ICS
P09079902A0713|71 73|Pra
P08124912A0456|71 73|LDH
P09067577A0721|74 76|C3G
P10607566A0880|74 76|RAR
P07518426A0000|72 74|C-X
P11893767A0356|75 77|O(2
P08300601A0745|70 72|E12
P10652102A0620|73 75|Ty1
P11237491A0000|73 75|CEA
P07479004A0421|73 74|P2
P11697760A0000|74 75|E2
P07865876A1292|73 74|DP
P10628755A0000|72 73|GH
P09528768A0000|73 74|ER
P10781423A0993|72 129|homeodomain transcription factor thyroid transcription factor-1
P09537295A0951|71 106|reverse transcriptase-polymerase chain
P10792583A0000|74 108|pituitary adrenocorticotropic hormone
P08666404A0311|71 104|protein serine-threonine phosphatase
P07559347A0000|72 103|bglP'-lacZ transcriptional fusions
P10423292A0782|71 101|transcription factor binding sites
P10194762A0648|77 107|C-terminal transactivation domain
P10646863A0838|75 104|endogenous topoisomerase IIalpha
P11145743A0170|72 98|thyroid transcription factor 1
P09621893A0000|75 102|vascular alpha2-adrenoceptors
P11323419T0000|74 100|1,2)fucosyltransferase genes
P02844767A0191|74 95|nuclear encoded in plants
P08164684A1266|72 95|heterodimeric-DNA complex
P09171239A1118|71 93|nuclear hormone receptors
P08626437A0332|73 96|glutathione S-transferase
P07885999A0000|72 90|mouse tyrosinase gene
P02164588A0266|72 90|signal-anchor domain
P09046090T0000|73 90|glucose transporter
P09398598A0256|72 88|murine CD4 fragment
P11158290A0728|73 90|IkappaBalpha, -beta
P10545248A0567|73 90|homeodomain protein
P08921865A1293|71 87|terminase proteins
P08631934A0000|71 87|DNA-binding domain
P01735447A0271|74 90|pre-super-pro-PrB
P02148799A0000|71 86|Neurospora crassa
P01297332A0983|73 88|6-dependent genes
P10572131A0000|73 87|nasFEDCBA operon
P09557678A0140|74 87|BPV1) E2 protein
P02115572A1323|69 82|U266 lambda gene
P06246254A0676|75 86|src sequences
P10965135A0735|75 86|mos oncogenes
P07498727A0724|73 84|rad18 mutator
P01309910A0428|74 85|CREB2 protein
P10750020A0843|73 84|GC-rich sites
P01869565A1254|72 82|ADH promoter
P08556707A1390|74 84|p53 promoter
P08321203A0840|72 81|C/EBP delta
P09811730A1396|76 85|KCS element
P08836172A1382|74 82|RVR delta E
P08917435A0481|72 80|PAI-1 gene
P11152963A0000|75 83|SETA) gene
P11259503A0212|73 82|luciferase
P09647233A0336|73 81|NF-kappa B
P09335298A1227|71 79|par region
P10209119A0594|73 81|pop2 genes
P09199970A1101|75 83|I cofactor
P07490079A0825|73 81|human STEP
P08016102A1238|73 81|NF-kappa B
P07784078A1064|72 79|RAR alpha
P08093642A0600|73 80|RET locus
P09582953A1097|76 83|alpha 2AP
P02646007T0000|76 83|protein C
P11264176A0181|71 78|cyclin A2
P08407784A0850|76 84|hyper-UVr
P02237431A0833|69 75|T alpha 2
P09891065A1493|75 83|PKC-alpha
P09599664A0881|72 78|RXR beta
P01662609A0398|71 78|R.HgiCI)
P03865743A0859|72 78|apo A-II
P09593302A1165|77 84|A-domain
P09465035A1032|73 79|L(alpha
P01732752A0156|74 79|LT mRNA
P08838585A0968|71 77|ras-p21
P07811964A1252|74 79|EmBP-1
P08621730T0000|73 78|COL1A2
P07814388A0662|72 76|IGF II
P09190202A0166|73 78|Sec24p
P09701609A0116|75 80|PhLOP2
P10330168A0135|77 82|Cdc28p
P03065621T0000|74 78|MRP13
P10358079A0391|76 80|Stat5
P09430661A0796|75 79|EphB1
P09195923A0125|72 76|hsp90
P09030688A0435|74 78|Rap1p
P08043523A0000|75 79|nAChR
P09837714A1068|75 79|DdRPA
P10669594A0000|75 79|SEF17
P02595451A1136|73 76|TCL2
P08731511A0625|72 75|HCII
P10799501A1391|74 77|SPRK
P11084649A0497|70 73|E6.5
P08264631A0746|73 76|ADR1
P08475104A0341|71 74|G1-S
P09079650A0136|74 77|MAPK
P09528770A1379|74 77|IREu
P09718372T0000|76 79|Spc1
P11297545A0948|74 77|CHOP
P10909973A1508|71 74|CREB
P08139543A1520|74 77|SLT2
P09566876A0000|74 76|TBP
P09858713A1174|72 74|Arm
P10698516T0000|74 76|JNK
P11054970A0282|76 78|NF1
P08628681A0821|73 75|exo
P11554727A0890|73 75|PTH
P11123316T0000|73 75|Tec
P08144852A0000|76 78|AVP
P11532856A1175|75 77|HGF
P08257666A0662|71 73|IHA
P10704338A0354|71 72|CA
P07981246A0112|77 77|s
P07622058A0411|74 115|Drosophila melanogaster segmentation gene runt
P08385131A0000|73 115|pertussis toxin-sensitive GTP-binding proteins
P07640309A0000|76 107|HMG)-box transcription factor TCF-1
P07528325A0165|74 103|cytoplasmic transcription factor
P10490955T0000|75 104|mitogen-activated protein kinase
P07688112A0274|75 98|prostatic acid phosphatase
P08093616A1214|72 93|DNA polymerase alpha gene
P08383214A0389|73 94|C-terminal RNase H domain
P09811730T0000|76 97|15-base-pair KCS element
P01539996A0588|71 91|Escherichia coli enzyme
P08621664A1430|75 95|neurofilament L protein
P02388685A0577|76 94|alkaline phosphatase
P06349364A1051|75 93|globulin) antibodies
P01460054A0968|76 93|IFN-inducible genes
P09792439T0000|74 90|40S hnRNP complexes
P07797077A0842|73 90|DNA-binding domains
P08497248A0000|75 92|c-fms protooncogene
P09371626A1345|73 89|RNA-binding domain
P08776735A0000|74 89|rLHR) or receptors
P10799595A1454|74 88|HPV-6 E1 promoter
P08302589A1132|78 91|protein kinase C
P11221845A0295|74 87|SV40 T/t antigen
P11046153A1052|76 90|p300 coactivator
P11341828A0744|75 89|cyclic molecules
P09305755A0540|75 88|nuclear factor 1
P09564860A2315|72 85|receptor G(q/11
P10194451A0000|77 90|tyrosine kinase
P02656257A0000|74 85|a recombinase
P09343222A0415|71 82|human protein
P08386280T0000|72 83|gag enhancers
P01713213A0488|73 84|Pim-1 protein
P10801809T0000|75 86|PHO5 promoter
P10610716A1127|74 84|human AC gene
P11208814A0673|75 86|bHLH proteins
P01826003A0694|70 79|beta TG gene
P03417668A1233|76 86|beta subunit
P10444813A0448|74 85|somatostatin
P08510924A0490|74 84|Myb proteins
P08149484A0151|74 82|PKC alpha K
P09832436T0000|74 83|PRL) family
P08683983A1163|74 82|c-myb gene
P08816452A0936|74 82|SR protein
P11282395A1073|74 82|Ig lambdaL
P10521509A0000|75 84|pleckstrin
P07579164A0409|72 80|atp9 genes
P11274184A1068|75 82|ho-1 gene
P10077533A0976|72 79|MUL genes
P06402859A0000|72 79|thrombin
P08521414A1384|73 80|p16INK4A
P10521450A0437|72 79|Lyn(-/-)
P11007777A0813|75 82|junctate
P07592946A0997|72 78|AP-1 box
P09545638T0000|78 84|HRMT1L1
P11469701A0377|76 82|insulin
P10567581A0119|77 83|Trident
P11067928A0532|71 76|Jkappa
P11474642A1451|76 81|min(-1
P07476971A0381|76 80|Pit-1
P10805747A0633|75 79|Hsl1p
P07964458A0179|77 81|Nramp
P09652737A1244|77 81|Fra-1
P10602516A0182|75 79|M-NAP
P07935418A0447|73 77|RLD-1
P08223875A0711|75 78|CD45
P02743981A0347|78 81|L10e
P03199436A1060|77 80|petD
P09029713A1120|74 77|SF-1
P11160307A0394|75 78|eGFP
P09108279A0431|73 76|ogg1
P11560992A0000|76 79|MKK4
P03915540A0863|76 79|lacZ
P10713083A0560|74 77|TraR
P08076631A0000|73 76|AP-1
P09652736A1205|72 75|p300
P09545323T0000|73 76|MSH2
P07678051A1303|71 74|PDGF
P01373374A0735|74 77|GBF3
P10327051A0688|77 80|ATF2
P11559821A1315|75 78|p300
P08760889A0531|74 77|H2As
P10819327T0000|76 79|KIFB
P11278610A0902|74 77|JAK2
P11233643A0000|76 79|PPIX
P10903837A1208|70 73|VSX1
P11306463A0383|72 75|cdk4
P01646487A0874|73 75|IgA
P09813254A0000|75 77|IFN
P11158295A0158|71 73|SH3
P07899581A0000|75 77|SOD
P09242506A1033|73 75|1-3
P08932363A0807|73 75|CBP
P10825200T0000|76 78|syk
P10545192T0000|78 80|p70
P11053009A0000|77 79|COX
P04048245A0331|76 78|CPN
P08918464A0225|78 80|STK
P08561897A0604|76 78|Sp1
P09712898A0911|74 76|GCK
P07559402A0622|74 76|PKC
P09880512A1251|74 76|Sp1
P09759865A0673|74 76|p50
P07509449A0000|74 76|crk
P03443566A0675|73 74|CR
P11145813A0668|73 74|C6
P11324516A0159|74 75|D1
P08405433A0000|74 75|P3
P08246987A0260|74 74|3
P08922391A0304|73 73|2
P08524272T0000|78 122|SH2 domain-containing tyrosine phosphatase SHPTP1
P01863887A0174|76 111|tissue plasminogen activating substance
P02826127A0709|72 105|lymphoid cell-specific protein oct-B2
P08307338A0227|75 107|mitochondrially encoded cytochrome b
P09501169A0000|76 107|histone acetylases and deacetylases
P09115242A0934|76 109|CCAAT/enhancer-binding protein-beta
P10407184A0520|75 106|chloramphenicol acetyl transferase
P08188603A0230|73 103|Saccharomyces cerevisiae CPA2 gene
P07948129A0297|74 105|chloramphenicol acetyl transferase
P10373507A0680|76 107|SRF-dependent skeletal alpha-actin
P01649318A0734|74 101|herpes simplex virus TK promoter
P02760922A0000|76 101|mammalian hnRNP 40 S particles
P11156413T0000|75 100|polyomavirus middle T antigen
P08474438A0000|76 101|RNA polymerase II transcripts
P09753775A0734|72 95|Cdc2-like histone H1 kinase
P08626493A1468|72 96|retinoblastoma gene product
P07891713T0000|74 97|NF-E2 transcription factor
P08760286A0696|76 99|small GTP-binding proteins
P07592710T0000|78 100|immunoglobulin kappa gene
P07488247T0000|78 100|aryl hydrocarbon receptor
P07476963A0000|78 100|nuclear hormone receptors
P09155015A0140|73 95|atrial natriuretic factor
P07588245T0000|80 101|thyroid hormone receptor
P08243476A1177|77 99|nitrous-oxide reductases
P08506384A0146|75 95|GDP-GTP exchange factor
P07896088A0720|74 94|RAP1 interacting factor
P08622645A1026|75 95|RXR-responsive element
P08770920A1220|80 98|IDX-1 mutant proteins
P06797063A0000|77 94|ristocetin cofactor
P07563072A0773|75 91|rpoD(P504L) mutant
P10623758A0947|74 91|beta-galactosidase
P08034741A0000|74 89|mammalian myosin I
P02241892A0681|77 92|sialophorin mRNAs
P01901950T0000|76 89|mouse c-fos gene
P09499061A0000|75 89|HIV-1) integrase
P01864837A1029|72 86|mouse contrapsin
P03577670A0236|75 88|arylsulfatase A
P08627719A0784|77 90|protein factors
P09086268A0611|74 87|RNA polymerase)
P08455598A0000|75 87|a/alpha aar1-6
P02674671A0601|76 87|met2 mutation
P10683072T0000|78 90|interleukin-2
P09135066A0653|74 85|oncogenic Ras
P08101839A0000|73 84|mdr1 promoter
P09162097A0776|75 85|mucin domain
P08816453A0000|73 83|Raf-1 kinase
P07737118A0317|71 80|GST protein
P09305870A0894|73 82|PDZ domains
P08552095A1115|74 83|yeast genes
P07880442A0236|75 84|S1 nuclease
P00970488A0105|75 84|DA receptor
P09371566A1384|73 81|SR protein
P09045842T0000|74 82|mer operon
P10657238A0541|76 84|mStaf gene
P09925372A1063|73 80|HFHZ mRNA
P01309593A1092|73 80|UCR motif
P09426068A0826|76 84|TGF-alpha
P08552093A0657|77 83|alpha i2
P09840943A0144|74 80|cyclin E
P07729427A0942|75 82|hTAFII18
P02014928T0000|78 84|albumin
P10076007A0656|74 80|mRNP3+4
P11513579A0372|75 81|Rho-GDI
P02204625A1130|73 79|insulin
P09199413A0518|72 78|RB6-8C5
P08091655A0000|74 79|MDV-GA
P07537267A2094|74 79|HPFH-3
P08761480A0331|75 79|PDE4A
P10850719A0680|74 78|Jbeta
P09858531A1017|78 82|c-jun
P03263465T0000|73 77|H-2Ld
P11160656A0000|78 82|MIERR
P11390395A1018|79 83|STAT3
P08947028A0992|77 81|Bni1p
P07963540A0795|75 78|RelA
P10467004A0683|73 76|IBS2
P10647817T0000|74 77|PTA1
P09575217A0971|75 78|Jak2
P10891399A1185|78 81|WAF1
P09882303A1984|72 75|LMP1
P10691972T0000|76 79|MRP2
P04001490T0001|80 83|Skin
P10342829A1370|77 80|SF-1
P09611234A0098|77 80|BCL6
P10555285A1065|77 80|FUT5
P10446131A0132|75 78|ATII
P08918934A0424|73 76|NTF2
P07980669A0373|74 76|NPY
P10529198A0068|75 77|ras
P07865876A1292|76 78|E2F
P10490826T0000|76 78|t(1
P10684111A1411|72 74|p44
P11852907A0871|75 77|SRP
P09878542A1151|77 79|VDR
P00201881A0487|72 74|MSH
P10764802A1258|74 76|Kip
P08677443A0238|77 79|VIP
P11254504A0766|77 79|Sp1
P01991521A0481|77 78|G4
P09328476A0068|76 77|U1
P09488486A0000|75 117|eukaryotic nuclear RNA polymerases, polymerases
P10751398A1135|76 114|Epstein-Barr virus latent membrane protein 1
P09170159A0348|77 115|tyrosinase and tyrosinase-related protein 1
P07565731A1629|76 113|heterogeneous nuclear ribonucleoproteins
P01021091T0000|73 108|2--phenylalanine-8-lysine vasopressin
P11094073A0000|73 104|Ros receptor protein tyrosine kinase
P10681562A0263|76 106|dominant-negative mutant receptor
P10413676A0595|74 101|Tyr-397/SH2 domain binding site
P02124710A1624|72 97|type alpha I collagen promoter
P00593119T0001|75 102|allergospecific IgE antibodies
P10779508A0452|75 98|glutathione S-transferase
P11463834A0606|74 96|carboxy-terminal region 2
P11325944A0511|75 98|glutathione S-transferase
P02454390T0000|78 99|alpha 1-fetoprotein gene
P10586074A0129|74 94|envelope glycoprotein E
P03045117A0936|73 93|epidermal growth factor
P02901498A0354|74 93|wild-type erbB protein
P02686588A0592|77 95|alkaline phosphatase
P07917540A0000|76 93|interferon-alpha 2b
P07629150A0155|76 93|luteinizing hormone
P07918128A0000|74 87|5-HT3) receptor
P09085842A0181|73 87|protein/protein
P09264466A0947|74 88|protein-protein
P07636648A1229|74 86|serum antibody
P08005230A0222|76 88|c-fos promoter
P07576307A0144|72 84|rat enkephalin
P10873386A0000|74 86|20S proteasome
P08464056A0000|77 88|C2H2 type ZFPs
P10825294A0473|73 84|BSP promoters
P08300611A0341|77 88|TraI proteins
P09050849A0000|73 84|human homolog
P10627532A0739|76 86|MAP) kinases
P11390684A1170|77 86|jadomycin B
P01320255A0795|74 83|L1 sequence
P03001086A0587|76 85|trout hsp70
P08824805A0832|75 84|p55 protein
P01327758A0000|77 85|E1 protein
P10209031A0832|74 82|Fyn kinase
P10473623A0081|77 85|gene Mix.2
P01671675A0905|76 82|CAD gene
P10899128A0661|75 82|MADS-box
P07678602A0153|76 83|p47-phox
P11145590A0217|77 83|TG) gene
P10890911A0470|73 79|TGFbeta
P10406464A0687|76 82|TRAP220
P01421145A1190|79 84|PCAT-1
P09268638A0332|76 81|D8S285
P11023832A1038|76 81|PC-PLC
P01545806T0000|76 81|REC107
P10584704A0913|76 81|HMB-45
P02958204A0175|76 81|HDL-PL
P09786926A1372|75 80|SREBP1
P02693208A0166|76 80|rad52
P09463380A1050|76 80|Smad1
P09710599A0310|76 80|ets-2
P09727046A0784|75 79|NF-E2
P09111367A1098|79 83|tal-1
P09020138A0833|74 78|RAFTK
P08072547A1009|75 79|c-Fos
P09037064A0183|78 82|HIV-1
P11296288A1107|76 80|orf-x
P01398071A0526|77 80|BRF1
P07926748A0383|74 77|NOT4
P08300601A0745|74 77|MyoD
P11179687A0280|79 82|PTPs
P08628284A0181|74 77|CYC1
P08887643A1167|75 78|TC21
P11438838A0788|73 76|U6-P
P09341182A0605|78 81|PLZF
P01993181T0000|78 81|nahG
P08812490A1509|77 80|hKID
P10498616A0157|75 78|IL-3
P09321930A0567|75 78|CIP1
P03062370A0384|75 78|GCN4
P02880841A0313|73 75|TF1
P11035037A0183|75 77|TBP
P09482902A0942|76 78|p16
P08733881A0343|76 78|TSH
P11327858A0087|76 78|p53
P02631743A0275|75 77|H-R
P07565685A0420|73 75|Ets
P09753774A1642|79 81|GF2
P07623844A0639|75 77|p53
P10446998A0955|78 80|SRF
P10529354A0375|75 77|19S
P08647434A1124|78 80|TBP
P07483276A0139|76 78|UL1
P09427844A0739|76 78|dGK
P09925777A1195|75 77|Rev
P07505798A0000|76 77|HA
P07937147A0205|75 76|IR
P08766781A0322|71 72|Hb
P02585492A1005|77 78|P1
P09751166A1460|75 76|TH
P09369451A0693|76 76|A
P09535833A0228|75 125|selenocysteine tRNA gene transcription activating factor
P02115111T0000|77 115|nif gene region of Anabaena sp. strain PCC7120
P09990057T0000|76 113|Ig heavy chain intronic enhancer core region
P09799362A1463|75 111|mitochondrial transcription factor Mtf1p
P01471602A0362|77 111|3-hydroxy-3-methylglutaryl coenzyme A
P08843412A0543|74 105|chicken ovalbumin upstream promoter
P08294429A0153|73 104|chloramphenicol acetyltransferase
P08093450A0688|76 107|chloramphenicol acetyltransferase
P09605137A0677|77 107|CD28RE-driven reporter constructs
P02483438A0498|75 101|phosphodiesterase inhibitors
P09153319A1332|79 102|collagen promoter sequence
P11123316T0000|76 99|pleckstrin homology domain
P07739382A0457|76 99|actin-associated proteins
P08265602T0000|79 97|phage M13 coat protein
P10913276A0510|77 95|PLC-gamma1 SH3 domain
P07702752A0545|75 93|cAMP-stimulated gene
P08091665T0000|74 90|type II TNF receptor
P08124912A0456|75 93|beta 2-microglobulin
P03171221A0531|75 92|elastin transcripts
P02010912A0366|73 88|MalT binding sites
P09575143A1189|75 91|SRC-family kinases
P03428274A0000|75 89|adenovirus type 2
P01398074A0697|75 88|RNase MRP enzyme
P08386318A1102|76 89|protein kinase C
P01331516A0103|75 88|wild-type virus
P10987280A0604|76 89|Zn-binding site
P10790390X0000|78 91|Drosophila. mod
P10477545T0000|76 88|M-tropic HIV-1
P10767560A0105|77 88|mouse Pkr gene
P07768824A0167|74 86|RNA polymerase
P08637711A1121|77 89|IRF-1 promoter
P09354757A1444|73 84|RNase H domain
P02164604A1574|77 88|BPV-1 mutants
P02555177A0488|78 88|COX1 introns
P10593939A0747|78 88|SR33 protein
P09311835A0147|77 87|SV40 mutants
P08702807A0964|78 87|MKK1 mutant
P11324516A0159|77 86|D2 receptor
P11171118A0836|75 85|DNA-protein
P09475378A1449|80 90|RUSH-1alpha
P09050849A1459|76 85|Sec7 domain
P11152451A1580|76 84|receptor I
P09515921A1662|76 84|pca operon
P11399064T0000|80 88|C/EBP beta
P11559547T0000|78 86|ERR family
P07981246A0112|80 88|G-protein
P09806826A0244|74 81|Vwf locus
P08582633T0000|78 85|HMR locus
P08595878A0201|76 84|Sevenless
P10630630A0614|77 83|CFI mRNA
P09136080A1469|78 84|Sp1 site
P11368363A1103|76 82|rat HBP1
P03185322A1305|79 84|class 2
P07685823A1234|76 81|DNase I
P10359792A0610|77 83|Groucho
P08128629A1164|75 80|p60CRS
P10403839A1459|77 82|mBMAL1
P08922391A0304|75 80|PDZ1-2
P10894816A0836|79 84|SRE)-1
P08035517A0753|77 81|IEP72
P08816459A0090|77 81|N-CoR
P09590294A0453|76 80|Notch
P01845899A0000|77 81|Rep40
P08683106A0374|78 82|STAT5
P11027280A0536|74 78|Smad3
P01924315A0158|76 79|SOD1
P09024793A1325|77 80|MyoD
P09632709A0464|75 78|BX42
P11133986A0350|81 84|PU.1
P09121430A0132|79 82|Grb2
P08977235A0134|77 80|STAT
P09003462A0792|74 77|nrdB
P11095248A0423|77 80|gp31
P09285789A0712|75 78|rac1
P03537721A0491|78 81|GAL4
P10653693A0903|77 80|RBCC
P08994825A0000|77 80|Cdc2
P02324102A1157|79 82|48K5
P02113174A0064|75 77|Sp1
P08970984A0765|77 79|Rel
P07967360A1048|77 79|IgA
P11287623A0286|81 83|ERK
P08246987A0260|76 78|SH2
P09067577A0721|78 80|SOS
P09388271A1243|75 77|PKC
P10485470A0242|72 74|p21
P10812294X0000|76 78|SBF
P07789342A1352|76 78|TSH
P08816460A1769|77 79|Ras
P10407985A0574|77 79|c.)
P09171239A2146|78 80|RXR
P08072547T0000|80 82|JNK
P09744095A1016|79 81|hy2
P09058378A1134|81 83|p53
P09382886A1061|76 78|p53
P11238447A0524|77 79|Rev
P08886845A1274|76 77|Me
P08395681A0388|76 77|E7
P10788476A0891|78 79|ER
P11359827T0000|80 80|J
P09115265A1160|78 111|erythroid transcription factor GATA-1
P10843810A0802|75 103|human tyrosine phosphatase 1 gene
P08808707A0631|78 106|stress-activated protein kinase
P01885613A1298|77 101|pro alpha 1(II) collagen gene
P08561893A0100|77 102|E-box DNA consensus sequences
P10380800A0194|75 100|RNA-dependent RNA polymerase
P11106428A0635|77 100|C-terminal 399 amino acids)
P08922385A0622|77 102|beta-galactosidase tetramer
P07859739T0000|78 101|MTS1 tumour suppressor gene
P01854339A0221|78 102|ribosome-binding sequences
P08569680A0636|77 99|GATA (DNA-binding) domain
P11053370A0708|77 100|glutathione S-transferase
P03939317A0352|77 98|soybean HS-protein genes
P02154467A0709|77 97|human furin gene product
P08618433A0000|76 97|tyrosine kinase receptor
P11168588T0000|77 97|c-Jun N-terminal kinase
P11559564A0459|78 97|human splicing factor 2
P07514295A0000|80 100|T-cell antigen receptor
P10799879T0000|78 96|Src homology 2 domains
P01339373T0000|77 93|SNF1 protein kinase
P08565548A0196|77 92|bovine collagen II
P09285715A1257|77 92|small nuclear RNAs
P08253958A0000|79 93|immunoglobulin G
P09218520A0075|78 92|cytosolic domain
P10897973T0001|78 92|antithrombin III
P09197408A0126|76 89|GAL4-like Zn(II
P07854324A0281|77 90|vertebrate wee1
P09132061A0828|73 86|isoperoxidases
P11062068T0000|80 91|p38 MAP kinase
P08993393A0498|77 88|hPACAP-R gene
P09584194A1305|76 87|human homolog
P10487760A0336|76 87|Xenopus MEF2D
P01588963A1153|77 88|Cdc25 protein
P09794795A0183|78 89|Janus kinases
P02474204A0105|78 89|chromogranin
P09333026A0397|76 87|non-receptor
P03543936A0000|78 88|ras oncogene
P08408841A0281|80 90|single-gene
P10891441A0871|79 88|p85 subunit
P07980440A0138|78 86|PEPCK gene
P11545594A1556|75 83|Myb domain
P08645214A1052|81 90|peroxidase
P09763607A0521|76 84|p38 kinase
P10024882A0541|77 84|RNA pol II
P09336455A0000|75 83|RNR3 genes
P08297376A0236|80 88|C/EBP beta
P09718372T0000|80 88|MAP kinase
P01701088A1335|77 84|CCAAT box
P10861080A0433|81 89|TNF-alpha
P11160860A0662|78 86|NF-kappaB
